epoch,loss,hardening_loss,r_loss,auxiliary_loss,learning_rate,validation_hardening_mre_percent,validation_r_mre_percent,validation_selection_score
17,0.13758572936058044,0.053941093385219574,0.017343487590551376,0.32638436555862427,0.002,3.691012657475581,14.533149700826014,18.224162358301594
18,0.13562598824501038,0.053368546068668365,0.017161596566438675,0.3195616602897644,0.002,3.505268992369339,14.775730820966848,18.280999813336187
19,0.11379770189523697,0.047855839133262634,0.009941396303474903,0.30706048011779785,0.002,3.283487716907959,15.452243559709228,18.735731276617187
20,0.1131240725517273,0.04492659121751785,0.012040230445563793,0.294113427400589,0.002,3.0396724463734737,13.985867197713075,17.02553964408655
21,0.10520279407501221,0.041492871940135956,0.010479124262928963,0.2850111722946167,0.002,2.967023560158868,13.411586642316598,16.378610202475468
22,0.10556300729513168,0.04210510849952698,0.011138061061501503,0.27454519271850586,0.002,3.0914029736359274,13.993097826631834,17.08450080026776
23,0.09802769124507904,0.03986034169793129,0.009133445098996162,0.2660030722618103,0.002,3.155588054081314,14.59539209661276,17.750980150694073
24,0.11095824837684631,0.04325395077466965,0.014565899036824703,0.25714996457099915,0.002,2.9221198053326516,14.113584444490396,17.03570424982305
25,0.0879969447851181,0.03649748116731644,0.007117811590433121,0.24842560291290283,0.002,2.8574596964026515,14.742421000978828,17.59988069738148
26,0.09820899367332458,0.035654667764902115,0.01301766000688076,0.243460014462471,0.002,2.8771200199135,13.707169292282606,16.584289312196105
27,0.08264388889074326,0.033575646579265594,0.007051120977848768,0.23310664296150208,0.002,3.0210549534621944,13.9997913494488,17.020846302910993
28,0.08325186371803284,0.0325479581952095,0.008513463661074638,0.2245132029056549,0.002,3.1754274821300785,12.905319288988174,16.08074677111825
29,0.07648447155952454,0.03236161917448044,0.005624611862003803,0.21915751695632935,0.002,3.2287169804154803,13.283268459301087,16.511985439716568
30,0.0812525749206543,0.031329184770584106,0.009136494249105453,0.2110026329755783,0.002,3.2709399713276524,12.993631624764024,16.264571596091677
31,0.07298684865236282,0.03288215771317482,0.00481654517352581,0.20314401388168335,0.002,3.2504444504645575,14.259678048887151,17.510122499351706
32,0.06668467819690704,0.02841942012310028,0.0043700579553842545,0.19683429598808289,0.002,3.186386070426639,14.631033381465667,17.817419451892306
33,0.0667455643415451,0.02893776446580887,0.004719650372862816,0.18912331759929657,0.002,2.9765110747283234,12.94692081520776,15.923431889936085
34,0.06375738233327866,0.028821393847465515,0.003945714794099331,0.18029704689979553,0.002,2.7288381274407896,12.171622480344451,14.90046060778524
35,0.05873975157737732,0.02656228467822075,0.003064212389290333,0.1736602485179901,0.002,2.792105104341992,12.981395553588035,15.773500657930029
36,0.056249797344207764,0.02546585723757744,0.0028093336150050163,0.16776849329471588,0.002,2.9086375369152453,13.951357432885342,16.85999496980059
37,0.05585990101099014,0.025969043374061584,0.002896766411140561,0.16064882278442383,0.002,2.902741918097462,14.939899789432584,17.842641707530046
38,0.053087055683135986,0.025611456483602524,0.0019810968078672886,0.15675602853298187,0.002,2.734338390907124,14.699977557786317,17.434315948693442
39,0.054455649107694626,0.023846512660384178,0.004259434994310141,0.14726844429969788,0.002,2.5253110815318225,13.423434554673246,15.94874563620507
40,0.05335000529885292,0.023271344602108,0.004363617394119501,0.14234283566474915,0.002,2.37222690173393,12.90945736205314,15.28168426378707
41,0.04790273681282997,0.02332124300301075,0.0019837780855596066,0.1374262571334839,0.002,2.2709448094532676,13.345390830888274,15.616335640341541
42,0.05431486293673515,0.02207322232425213,0.006203130818903446,0.13223585486412048,0.002,2.25458945220284,14.127250654171805,16.381840106374646
43,0.0504610612988472,0.022594576701521873,0.00435804994776845,0.12766921520233154,0.002,2.230182897210089,14.348588570442308,16.5787714676524
44,0.0488462969660759,0.021199209615588188,0.004654302261769772,0.12225653231143951,0.002,2.2096810891865886,13.45771403821825,15.667395127404838
45,0.044883161783218384,0.021013332530856133,0.0033352335449308157,0.11466241627931595,0.002,2.2438699600909726,12.246036535972383,14.489906496063353
46,0.04753789305686951,0.02052665688097477,0.0051412382163107395,0.11152505874633789,0.002,2.2810628978313185,12.913270375095667,15.194333272926986
47,0.04281032830476761,0.0202757827937603,0.003187248483300209,0.10773363709449768,0.002,2.3613110138181894,13.579001068051715,15.940312081869907
