condition_id,work_mj_m3,polar_angle_rad,sigma11_mpa,sigma22_mpa
TS003,0.25,2.4870941840919194,-125.2833506306867,96.13329608335685
TS003,0.25,2.4958208303518914,-126.1992733622084,95.09797356212177
TS003,0.25,2.504547476611863,-127.11297753972663,94.05865551036813
TS003,0.25,2.5132741228718345,-128.02448337549015,93.01523179820894
TS003,0.25,2.522000769131806,-128.93380738078193,91.96759102227954
TS003,0.25,2.530727415391778,-129.84096228990256,90.9156205637924
TS003,0.25,2.5394540616517496,-130.74595698277145,89.85920664840444
TS003,0.25,2.548180707911721,-131.64879640628885,88.79823440809649
TS003,0.25,2.5569073541716927,-132.54948149462203,87.73258794526585
TS003,0.25,2.5656340004316642,-133.44800908860233,86.6621503992288
TS003,0.25,2.5743606466916362,-134.34437185444315,85.58680401532894
TS003,0.25,2.5830872929516078,-135.23855820201305,84.50643021684375
TS003,0.25,2.5918139392115793,-136.1305522029264,83.42090967987747
TS003,0.25,2.600540585471551,-137.02033350873722,82.33012241142266
TS003,0.25,2.609267231731523,-137.90787726955458,81.23394783076807
TS003,0.25,2.6179938779914944,-138.79315405342265,80.13226485442075
TS003,0.25,2.626720524251466,-139.67612976684373,79.02495198470267
TS003,0.25,2.6354471705114375,-140.55676557684828,77.911887402172
TS003,0.25,2.644173816771409,-141.43501783505235,76.7929490620057
TS003,0.25,2.652900463031381,-142.3108380041742,75.66801479446822
TS003,0.25,2.6616271092913526,-143.18417258751276,74.53696240957372
TS003,0.25,2.670353755551324,-144.05496306192936,73.3996698060329
TS003,0.25,2.6790804018112957,-144.9231458149019,72.25601508455576
TS003,0.25,2.6878070480712677,-145.78865208625928,71.105876665559
TS003,0.25,2.6965336943312392,-146.65140791523467,69.94913341130423
TS003,0.25,2.705260340591211,-147.51133409350996,68.78566475246424
TS003,0.25,2.7139869868511823,-148.36834612495502,67.61535081908825
TS003,0.25,2.722713633111154,-149.2223541927967,66.43807257590366
TS003,0.25,2.731440279371126,-150.0732631349811,65.25371196185824
TS003,0.25,2.7401669256310974,-150.92097242851833,64.06215203377015
TS003,0.25,2.748893571891069,-151.7653761836252,62.86327711391228
TS003,0.25,2.7576202181510405,-152.6063631484996,61.6569729413177
TS003,0.25,2.7663468644110125,-153.44381672558032,60.44312682654537
TS003,0.25,2.775073510670984,-154.2776150001564,59.22162780960042
TS003,0.25,2.7838001569309556,-155.10763078220157,57.99236682065087
TS003,0.25,2.792526803190927,-155.93373166230845,56.755236843133574
TS003,0.25,2.8012534494508987,-156.7557800825981,55.51013307878572
TS003,0.25,2.8099800957108707,-157.5736334234669,54.25695311408297
TS003,0.25,2.8187067419708423,-158.3871441070184,52.99559708750873
TS003,0.25,2.827433388230814,-159.19615971800138,51.72596785701827
TS003,0.25,2.8361600344907854,-160.0005231430425,50.447971167005115
TS003,0.25,2.8448866807507573,-160.80007272891825,49.161515814014294
TS003,0.25,2.853613327010729,-161.5946424605604,47.86651381039036
TS003,0.25,2.8623399732707004,-162.38406215942504,46.562880544986584
TS003,0.25,2.871066619530672,-163.168157702784,45.250534940008414
TS003,0.25,2.8797932657906435,-163.94675126441268,43.92939960300557
TS003,0.25,2.8885199120506155,-164.71966157705498,42.599400972977705
TS003,0.25,2.897246558310587,-165.4867042169387,41.260469459509494
TS003,0.25,2.9059732045705586,-166.24769191049998,39.912539573806306
TS003,0.25,2.91469985083053,-167.00243486334617,38.55555005046545
TS003,0.25,2.923426497090502,-167.75074111134867,37.18944395878356
TS003,0.25,2.9321531433504737,-168.49241689360926,35.81416880237753
TS003,0.25,2.9408797896104453,-169.2272670468865,34.429676605877496
TS003,0.25,2.949606435870417,-169.9550954209001,33.03592398744503
TS003,0.25,2.9583330821303884,-170.67570531376077,31.632872215868474
TS003,0.25,2.9670597283903604,-171.38889992659148,30.220487251001117
TS003,0.25,2.975786374650332,-172.09448283622095,28.798739766330787
TS003,0.25,2.9845130209103035,-172.7922584846455,27.367605152503202
TS003,0.25,2.993239667170275,-173.48203268376267,25.92706350067048
TS003,0.25,3.001966313430247,-174.16361313369552,24.477099564593935
TS003,0.25,3.0106929596902186,-174.83680995283913,23.017702700504138
TS003,0.25,3.01941960595019,-175.50143621758096,21.548866783804808
TS003,0.25,3.0281462522101616,-176.15730850947523,20.070590101807724
TS003,0.25,3.036872898470133,-176.80424746748653,18.582875221793635
TS003,0.25,3.045599544730105,-177.44207834276796,17.08572883381819
